taxonID,scientificName,taxonRank,threatStatus,kingdom,phylum,class,order,family,establishmentMeans,scientific_std,matched_any,matched_grid10,matched_grid50,n_grids
urn:lsid:dyntaxa.se:TaxonName:424157,Spilomium trachylioides,species,"",Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,"",spilomium trachylioides,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:119390,Spiloptera arctica,species,"",Animalia,Arthropoda,Insecta,Diptera,Canthyloscelidae,"",spiloptera arctica,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:269844,Spinolia neglecta,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Chrysididae,"",spinolia neglecta,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:218023,Spiralinella spiralis,species,DD,Animalia,Mollusca,Gastropoda,"",Pyramidellidae,native,spiralinella spiralis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:76,Spiratinella pellucida,species,"",Animalia,Mollusca,Gastropoda,"",Pyramidellidae,"",spiratinella pellucida,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:357934,Spirontocaris occulta,species,"",Animalia,Arthropoda,Malacostraca,Decapoda,Thoridae,"",spirontocaris occulta,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:6037,Spongipellis delectans,species,VU,Fungi,Basidiomycota,Agaricomycetes,Polyporales,"Polyporales, genera incertae sedis",native,spongipellis delectans,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:152826,Spongipellis fissilis,species,"",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,"",spongipellis fissilis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:1518,Spongipellis pachyodon,species,RE,Fungi,Basidiomycota,Agaricomycetes,Polyporales,"Polyporales, genera incertae sedis",native,spongipellis pachyodon,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:13405,Spongipellis spumea,species,"",Fungi,Basidiomycota,Agaricomycetes,Polyporales,"Polyporales, genera incertae sedis","",spongipellis spumea,FALSE,FALSE,FALSE,0
