taxonID,scientificName,taxonRank,threatStatus,scientific_std,matched_any,matched_grid10,matched_grid50
urn:lsid:dyntaxa.se:Taxon:6040095,"Hamatocaulis vernicosus, southern cryptic species",unranked,VU,"hamatocaulis vernicosus, southern cryptic species",FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:101059,Helophorus redtenbacheri,species,VU,helophorus redtenbacheri,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:101072,Heterocordylus leptocerus,species,VU,heterocordylus leptocerus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:231480,Hieracium acidotum,species,VU,hieracium acidotum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:231222,Hieracium cacuminatum,species,EN,hieracium cacuminatum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:231582,Hieracium carcarophyllum,species,EN,hieracium carcarophyllum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:231278,Hieracium femsioënse,species,CR,hieracium femsioënse,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:251462,Hieracium gracilifrons,species,VU,hieracium gracilifrons,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:231705,Hieracium haboënse,species,EN,hieracium haboënse,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:231708,Hieracium hastato-ovatum,species,EN,hieracium hastato-ovatum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:251308,Hieracium helenae,species,EN,hieracium helenae,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:251310,Hieracium imbricatum,species,EN,hieracium imbricatum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:231306,Hieracium kemiticum,species,VU,hieracium kemiticum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:231780,Hieracium maculosiforme,species,EN,hieracium maculosiforme,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:267089,Hieracium marginelliceps,species,EN,hieracium marginelliceps,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:266122,Hieracium oreades,species,EN,hieracium oreades,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:231911,Hieracium planifrons,species,EN,hieracium planifrons,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:251811,Hieracium praviforme,species,VU,hieracium praviforme,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:266133,Hieracium pseudonosmoides,species,EN,hieracium pseudonosmoides,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:231968,Hieracium pycnodon,species,EN,hieracium pycnodon,FALSE,FALSE,FALSE
