taxonID,scientificName,taxonRank,threatStatus,family,order,priority,n_cells_10km,n_cells_50km,total_occ_10km
urn:lsid:dyntaxa.se:Taxon:1154,Pannaria rubiginosa,species,CR,Pannariaceae,Peltigerales,Threatened - Poorly Sampled,1,1,204
urn:lsid:dyntaxa.se:Taxon:218156,Paracoryphella parva,species,CR,Paracoryphellidae,Nudibranchia,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:1171,Parmeliella parvula,species,CR,Pannariaceae,Peltigerales,Threatened - Poorly Sampled,1,1,26
urn:lsid:dyntaxa.se:Taxon:102759,Patella vulgata,species,CR,Patellidae,"",Threatened - Poorly Sampled,1,1,91
urn:lsid:dyntaxa.se:Taxon:1176,Perenniporia fraxinea,species,CR,Polyporaceae,Polyporales,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:229543,Pertusaria flavocorallina,species,CR,Pertusariaceae,Pertusariales,Threatened - Poorly Sampled,1,1,4
urn:lsid:dyntaxa.se:Taxon:1194,Phaeophyscia constipata,species,CR,Physciaceae,Caliciales,Threatened - Poorly Sampled,1,1,118
urn:lsid:dyntaxa.se:Taxon:249147,Philoctetes truncatus,species,CR,Chrysididae,Hymenoptera,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:232475,Phocoena phocoena (Baltic population),unranked,CR,Phocoenidae,Artiodactyla,Threatened - Poorly Sampled,1,1,13366
urn:lsid:dyntaxa.se:Taxon:101562,Phyllonorycter staintoniellus,species,CR,Gracillariidae,Lepidoptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:1234,Physcomitrium sphaericum,species,CR,Funariaceae,Funariales,Threatened - Poorly Sampled,1,1,14
urn:lsid:dyntaxa.se:Taxon:100211,Platynus longiventris,species,CR,Carabidae,Coleoptera,Threatened - Poorly Sampled,1,1,37
