grid,eeacellcode,last_ym,staleness_months,total_occurrences,priority_reason
grid10km,10kmE488N508,1986-08-01,473,9,Not sampled in 39.4 years
grid10km,10kmE501N474,1986-08-01,473,1,Not sampled in 39.4 years
grid10km,10kmE499N483,1986-09-01,472,5,Not sampled in 39.3 years
grid10km,10kmE497N476,1986-09-01,472,3,Not sampled in 39.3 years
grid10km,10kmE498N479,1986-09-01,472,3,Not sampled in 39.3 years
grid10km,10kmE502N478,1986-09-01,472,3,Not sampled in 39.3 years
grid10km,10kmE498N488,1986-09-01,472,4,Not sampled in 39.3 years
grid10km,10kmE379N448,1986-09-01,472,1,Not sampled in 39.3 years
grid10km,10kmE476N428,1986-10-01,471,1,Not sampled in 39.2 years
grid10km,10kmE376N435,1986-11-01,470,1,Not sampled in 39.2 years
grid10km,10kmE491N517,1986-11-01,470,1,Not sampled in 39.2 years
grid10km,10kmE465N347,1986-12-01,469,1,Not sampled in 39.1 years
grid10km,10kmE481N513,1987-01-01,468,8,Not sampled in 39 years
grid10km,10kmE417N507,1987-04-01,465,1,Not sampled in 38.8 years
grid10km,10kmE414N465,1987-04-01,465,1,Not sampled in 38.8 years
grid10km,10kmE514N482,1987-04-01,465,1,Not sampled in 38.8 years
grid10km,10kmE498N439,1987-04-01,465,1,Not sampled in 38.8 years
grid10km,10kmE479N379,1987-06-01,463,3,Not sampled in 38.6 years
grid10km,10kmE477N385,1987-06-01,463,4,Not sampled in 38.6 years
grid10km,10kmE481N372,1987-06-01,463,1,Not sampled in 38.6 years
grid10km,10kmE477N376,1987-06-01,463,1,Not sampled in 38.6 years
grid10km,10kmE477N368,1987-06-01,463,1,Not sampled in 38.6 years
grid10km,10kmE485N530,1987-08-01,461,1,Not sampled in 38.4 years
grid10km,10kmE508N408,1987-09-01,460,1,Not sampled in 38.3 years
grid10km,10kmE380N463,1987-09-01,460,1,Not sampled in 38.3 years
grid10km,10kmE484N350,1987-09-01,460,1,Not sampled in 38.3 years
grid10km,10kmE380N412,1987-09-01,460,1,Not sampled in 38.3 years
grid10km,10kmE545N461,1987-10-01,459,1,Not sampled in 38.2 years
grid10km,10kmE422N392,1987-12-01,457,1,Not sampled in 38.1 years
grid10km,10kmE406N401,1987-12-01,457,1,Not sampled in 38.1 years
grid10km,10kmE520N443,1988-01-01,456,1,Not sampled in 38 years
grid10km,10kmE489N386,1988-03-01,454,15,Not sampled in 37.8 years
grid10km,10kmE418N409,1988-03-01,454,1,Not sampled in 37.8 years
grid10km,10kmE419N390,1988-03-01,454,1,Not sampled in 37.8 years
grid10km,10kmE415N386,1988-04-01,453,1,Not sampled in 37.8 years
grid10km,10kmE404N413,1988-04-01,453,1,Not sampled in 37.8 years
grid10km,10kmE449N466,1988-05-01,452,1,Not sampled in 37.7 years
grid10km,10kmE400N372,1988-06-01,451,1,Not sampled in 37.6 years
grid10km,10kmE373N432,1988-07-01,450,1,Not sampled in 37.5 years
grid10km,10kmE492N415,1988-08-01,449,1,Not sampled in 37.4 years
grid10km,10kmE475N374,1988-08-01,449,1,Not sampled in 37.4 years
grid10km,10kmE430N461,1988-09-01,448,1,Not sampled in 37.3 years
grid10km,10kmE497N346,1988-09-01,448,1,Not sampled in 37.3 years
grid10km,10kmE393N407,1988-09-01,448,1,Not sampled in 37.3 years
grid10km,10kmE509N381,1988-11-01,446,1,Not sampled in 37.2 years
grid10km,10kmE543N423,1988-12-01,445,1,Not sampled in 37.1 years
grid10km,10kmE426N522,1988-12-01,445,1,Not sampled in 37.1 years
grid10km,10kmE428N504,1988-12-01,445,1,Not sampled in 37.1 years
grid10km,10kmE438N361,1989-06-01,439,1,Not sampled in 36.6 years
grid10km,10kmE444N351,1989-06-01,439,1,Not sampled in 36.6 years
grid10km,10kmE447N350,1989-06-01,439,1,Not sampled in 36.6 years
grid10km,10kmE472N508,1989-08-01,437,100,Not sampled in 36.4 years
grid10km,10kmE512N430,1989-08-01,437,1,Not sampled in 36.4 years
grid10km,10kmE533N444,1989-11-01,434,1,Not sampled in 36.2 years
grid10km,10kmE409N447,1989-11-01,434,1,Not sampled in 36.2 years
grid10km,10kmE408N362,1989-11-01,434,1,Not sampled in 36.2 years
grid10km,10kmE546N487,1989-12-01,433,1,Not sampled in 36.1 years
grid10km,10kmE432N359,1990-02-01,431,1,Not sampled in 35.9 years
grid10km,10kmE454N354,1990-03-01,430,1,Not sampled in 35.8 years
grid10km,10kmE397N442,1990-05-01,428,1,Not sampled in 35.7 years
grid10km,10kmE442N362,1990-06-01,427,1,Not sampled in 35.6 years
grid10km,10kmE463N362,1990-06-01,427,1,Not sampled in 35.6 years
grid10km,10kmE451N354,1990-06-01,427,2,Not sampled in 35.6 years
grid10km,10kmE542N490,1990-06-01,427,1,Not sampled in 35.6 years
grid10km,10kmE447N354,1990-07-01,426,2,Not sampled in 35.5 years
grid10km,10kmE452N351,1990-07-01,426,1,Not sampled in 35.5 years
grid10km,10kmE443N366,1990-07-01,426,3,Not sampled in 35.5 years
grid10km,10kmE455N353,1990-08-01,425,1,Not sampled in 35.4 years
grid10km,10kmE402N371,1990-08-01,425,1,Not sampled in 35.4 years
grid10km,10kmE526N465,1990-08-01,425,1,Not sampled in 35.4 years
grid10km,10kmE472N348,1990-09-01,424,1,Not sampled in 35.3 years
grid10km,10kmE473N528,1990-09-01,424,1,Not sampled in 35.3 years
grid10km,10kmE419N402,1990-11-01,422,1,Not sampled in 35.2 years
grid10km,10kmE441N500,1991-01-01,420,1,Not sampled in 35 years
grid10km,10kmE381N461,1991-02-01,419,2,Not sampled in 34.9 years
grid10km,10kmE425N420,1991-02-01,419,1,Not sampled in 34.9 years
grid10km,10kmE437N457,1991-02-01,419,1,Not sampled in 34.9 years
grid10km,10kmE449N525,1991-02-01,419,1,Not sampled in 34.9 years
grid10km,10kmE497N448,1991-02-01,419,1,Not sampled in 34.9 years
grid10km,10kmE509N497,1991-02-01,419,1,Not sampled in 34.9 years
grid10km,10kmE443N473,1991-02-01,419,1,Not sampled in 34.9 years
grid10km,10kmE481N399,1991-03-01,418,1,Not sampled in 34.8 years
grid10km,10kmE489N417,1991-03-01,418,1,Not sampled in 34.8 years
grid10km,10kmE494N401,1991-03-01,418,1,Not sampled in 34.8 years
grid10km,10kmE482N393,1991-03-01,418,25,Not sampled in 34.8 years
grid10km,10kmE485N402,1991-04-01,417,1,Not sampled in 34.8 years
grid10km,10kmE455N351,1991-04-01,417,1,Not sampled in 34.8 years
grid10km,10kmE463N360,1991-04-01,417,1,Not sampled in 34.8 years
grid10km,10kmE441N416,1991-04-01,417,1,Not sampled in 34.8 years
grid10km,10kmE537N387,1991-05-01,416,1,Not sampled in 34.7 years
grid10km,10kmE532N412,1991-05-01,416,1,Not sampled in 34.7 years
grid10km,10kmE493N396,1991-06-01,415,1,Not sampled in 34.6 years
grid10km,10kmE460N356,1991-06-01,415,1,Not sampled in 34.6 years
grid10km,10kmE445N354,1991-06-01,415,1,Not sampled in 34.6 years
grid10km,10kmE454N352,1991-06-01,415,1,Not sampled in 34.6 years
grid10km,10kmE439N425,1991-06-01,415,1,Not sampled in 34.6 years
grid10km,10kmE431N434,1991-08-01,413,1,Not sampled in 34.4 years
grid10km,10kmE419N423,1991-08-01,413,1,Not sampled in 34.4 years
grid10km,10kmE425N474,1991-11-01,410,1,Not sampled in 34.2 years
grid10km,10kmE491N399,1992-01-01,408,2,Not sampled in 34 years
grid10km,10kmE522N395,1992-03-01,406,1,Not sampled in 33.8 years
grid10km,10kmE487N410,1992-04-01,405,1,Not sampled in 33.8 years
grid10km,10kmE496N406,1992-04-01,405,1,Not sampled in 33.8 years
